Designator,Mid X,Mid Y,Rotation,Layer
C1,155.77,-72.75,180.0,top
C10,164.56167,-80.48884,0.0,top
C11,165.316949,-72.822277,0.0,top
C12,163.5,-71.02,90.0,top
C13,159.5,-55.25,0.0,top
C14,158.02,-59.5,180.0,top
C15,162.0,-83.48,90.0,top
C16,156.5,-83.48,90.0,top
C17,158.838046,-67.737443,180.0,top
C2,155.52,-73.75,180.0,top
C3,155.52,-76.0,180.0,top
C4,161.73,-81.0,0.0,top
C5,165.73,-77.5,0.0,top
C6,164.993799,-71.852826,0.0,top
C7,164.993799,-70.870448,0.0,top
C8,165.73,-73.75,0.0,top
C9,155.52,-75.0,180.0,top
J1,160.65,-49.25,180.0,top
J2,151.76,-72.25,0.0,top
J3,169.54,-72.25,0.0,top
J4,160.67,-96.14,90.0,top
R1,163.51,-55.0,0.0,top
R2,156.24,-55.0,180.0,top
R3,162.473953,-70.99,270.0,top
R4,161.226,-70.99,270.0,top
R5,162.51,-82.0,180.0,top
R6,154.49,-67.5,0.0,top
R7,154.48,-68.49,180.0,top
SW1,156.6,-65.25,180.0,top
U1,160.65,-76.25,90.0,top
U3,158.0,-69.5,0.0,top
U4,158.0,-57.0,270.0,top
Y1,159.4,-83.35,0.0,top
